Actual_Demand,Predicted_Demand
246.83333333333334,228.79657
338.66666666666663,296.53146
430.5,362.09537
522.3333333333333,424.80084
614.1666666666666,485.36276
706.0,544.14825
319.0,601.3499
451.99999999999994,330.4563
264.0,433.7373
266.42857142857144,294.01358
268.85714285714283,304.40543
271.2857142857143,307.7095
273.7142857142857,312.7499
276.14285714285717,316.35376
278.57142857142856,318.8706
281.0,320.56558
105.0,321.76678
101.4,185.71391
97.8,185.25842
94.2,181.45288
90.6,179.6479
87.0,177.24263
44.0,174.33507
128.0,139.72804
211.99999999999997,205.29767
296.0,267.91428
380.0,329.4722
464.0,388.56665
548.0,445.61887
632.0,500.9636
475.3333333333333,554.8291
318.6666666666667,447.42545
162.0,336.43005
553.0,219.4516
131.0,501.37054
633.5,193.18091
1136.0,557.5556
40.0,843.70447
44.111111111111114,100.75615
48.22222222222222,142.35371
52.333333333333336,137.55444
56.44444444444445,147.75493
60.55555555555556,155.37035
64.66666666666666,160.85329
68.77777777777777,164.2489
72.88888888888889,166.19273
77.0,167.32964
84.55555555555556,168.19458
92.11111111111111,171.8772
99.66666666666666,175.8596
107.22222222222224,180.26538
114.77777777777777,185.06337
122.33333333333333,190.21797
129.88888888888889,195.66429
137.44444444444446,201.32889
145.0,207.13327
893.0,213.02026
679.25,694.04724
465.5,582.7655
251.75,444.5947
38.0,285.01974
157.0,119.711716
276.0,220.53014
360.0,312.5905
530.0,377.86023
1000.0,496.49838
180.0,775.82166
757.0,220.78975
88.0,629.928
577.0,146.0939
774.0,520.1621
39.0,643.7443
43.5,113.44819
48.0,141.86667
52.5,141.73315
57.0,150.77316
61.5,157.3025
66.0,161.81296
70.5,164.61972
75.0,166.36656
1102.0,167.63052
706.5,790.7558
311.0,599.66473
542.3333333333334,334.23206
773.6666666666667,493.65237
1005.0,638.40015
112.99999999999999,776.45435
81.5,155.12122
50.0,163.62352
1047.0,135.90425
1023.5,769.2449
1000.0,791.30566
904.6,788.9381
809.2,726.6843
