Date,Time_Hour,Week_Day,Month,Passengers,Transport_Type,Route_Line,Origin_Start_Location,Destination_End_Location,Occupancy_Rate
2025-06-09,14,Monday,June,212,Metro,U7,Friedrichstraße,Ostkreuz,0.353
2024-02-01,14,Thursday,February,26,Bus,100,Alexanderplatz,Leopoldplatz,0.52
2024-05-31,17,Friday,May,984,Train,S7,Alexanderplatz,Südkreuz,0.984
2025-05-15,8,Thursday,May,146,Tram,M5,Zoologischer Garten,Leopoldplatz,0.811
2025-05-14,12,Wednesday,May,337,Metro,U1,Alexanderplatz,Hackescher Markt,0.562
2025-01-10,21,Friday,January,24,Bus,100,Leopoldplatz,Alexanderplatz,0.48
2025-02-05,13,Wednesday,February,390,Metro,U8,Potsdamer Platz,Südkreuz,0.65
2024-03-03,15,Sunday,March,74,Tram,M5,Alexanderplatz,Leopoldplatz,0.411
2025-06-10,15,Tuesday,June,236,Metro,U8,Airport BER,Hackescher Markt,0.393
2025-11-25,5,Tuesday,November,522,Train,S7,Zoologischer Garten,Südkreuz,0.522
2025-01-17,18,Friday,January,864,Train,S5,Potsdamer Platz,Alexanderplatz,0.864
2025-08-31,10,Sunday,August,289,Train,S5,Südkreuz,Friedrichstraße,0.289
2024-12-01,6,Sunday,December,104,Tram,M5,Friedrichstraße,Zoologischer Garten,0.578
2024-01-07,22,Sunday,January,210,Metro,U1,Airport BER,Zoologischer Garten,0.35
2024-06-11,11,Tuesday,June,217,Metro,U1,Zoologischer Garten,Alexanderplatz,0.362
2024-05-31,5,Friday,May,352,Metro,U8,Warschauer Straße,Südkreuz,0.587
2025-09-15,9,Monday,September,570,Metro,U7,Alexanderplatz,Zoologischer Garten,0.95
2023-12-07,14,Thursday,December,322,Metro,U8,Südkreuz,Ostkreuz,0.537
2023-12-22,10,Friday,December,418,Metro,U8,Friedrichstraße,Alexanderplatz,0.697
2024-03-30,22,Saturday,March,36,Bus,M29,Kottbusser Tor,Warschauer Straße,0.45
2025-06-06,8,Friday,June,997,Train,S41,Alexanderplatz,Südkreuz,0.997
2025-06-06,10,Friday,June,72,Tram,M5,Warschauer Straße,Potsdamer Platz,0.4
2024-10-19,20,Saturday,October,461,Train,S41,Südkreuz,Warschauer Straße,0.461
2024-05-30,20,Thursday,May,284,Metro,U8,Hackescher Markt,Friedrichstraße,0.473
2024-10-25,11,Friday,October,656,Train,S5,Zoologischer Garten,Ostkreuz,0.656
2024-03-31,6,Sunday,March,318,Metro,U7,Airport BER,Ostkreuz,0.53
2025-10-08,11,Wednesday,October,22,Bus,100,Airport BER,Ostkreuz,0.44
2024-02-29,10,Thursday,February,26,Bus,100,Berlin Hauptbahnhof,Zoologischer Garten,0.52
2025-10-08,17,Wednesday,October,40,Bus,100,Airport BER,Warschauer Straße,0.8
2025-09-28,7,Sunday,September,75,Tram,M1,Hackescher Markt,Potsdamer Platz,0.417
2024-07-27,9,Saturday,July,363,Train,S5,Ostkreuz,Leopoldplatz,0.363
2025-03-14,6,Friday,March,502,Metro,U7,Airport BER,Warschauer Straße,0.837
2025-01-08,5,Wednesday,January,21,Bus,X9,Airport BER,Hackescher Markt,0.35
2024-03-02,5,Saturday,March,230,Metro,U7,Alexanderplatz,Potsdamer Platz,0.383
2025-05-21,9,Wednesday,May,60,Bus,M29,Südkreuz,Zoologischer Garten,0.75
2024-06-26,9,Wednesday,June,115,Tram,M5,Potsdamer Platz,Ostkreuz,0.639
2024-08-25,8,Sunday,August,550,Train,S5,Airport BER,Kottbusser Tor,0.55
2025-02-08,5,Saturday,February,221,Metro,U2,Südkreuz,Berlin Hauptbahnhof,0.368
2024-08-08,23,Thursday,August,322,Metro,U1,Airport BER,Hackescher Markt,0.537
2024-04-14,19,Sunday,April,302,Metro,U2,Kottbusser Tor,Potsdamer Platz,0.503
2024-11-05,8,Tuesday,November,921,Train,S7,Ostkreuz,Warschauer Straße,0.921
2025-07-12,7,Saturday,July,321,Metro,U1,Leopoldplatz,Alexanderplatz,0.535
2025-11-15,9,Saturday,November,21,Bus,100,Hackescher Markt,Südkreuz,0.42
2024-11-07,12,Thursday,November,58,Bus,M29,Airport BER,Zoologischer Garten,0.725
2025-08-15,18,Friday,August,883,Train,S7,Friedrichstraße,Leopoldplatz,0.883
2025-01-28,20,Tuesday,January,638,Train,S41,Hackescher Markt,Warschauer Straße,0.638
2025-04-02,5,Wednesday,April,302,Train,S5,Berlin Hauptbahnhof,Südkreuz,0.302
2023-12-24,9,Sunday,December,78,Tram,M1,Airport BER,Südkreuz,0.433
2025-05-21,5,Wednesday,May,339,Metro,U1,Ostkreuz,Warschauer Straße,0.565
2025-09-19,12,Friday,September,31,Bus,X9,Leopoldplatz,Airport BER,0.517
2024-03-14,20,Thursday,March,434,Train,S7,Berlin Hauptbahnhof,Hackescher Markt,0.434
2024-07-06,14,Saturday,July,389,Metro,U1,Alexanderplatz,Ostkreuz,0.648
2025-07-29,6,Tuesday,July,494,Metro,U7,Friedrichstraße,Berlin Hauptbahnhof,0.823
2025-03-19,12,Wednesday,March,267,Metro,U7,Friedrichstraße,Berlin Hauptbahnhof,0.445
2024-08-06,15,Tuesday,August,410,Metro,U7,Potsdamer Platz,Zoologischer Garten,0.683
2023-12-10,18,Sunday,December,38,Bus,M29,Zoologischer Garten,Hackescher Markt,0.475
2025-08-02,14,Saturday,August,20,Bus,X9,Südkreuz,Berlin Hauptbahnhof,0.333
2025-03-22,23,Saturday,March,161,Metro,U1,Warschauer Straße,Kottbusser Tor,0.268
2023-12-12,20,Tuesday,December,387,Metro,U2,Zoologischer Garten,Ostkreuz,0.645
2025-05-26,12,Monday,May,267,Metro,U8,Alexanderplatz,Kottbusser Tor,0.445
2024-01-17,13,Wednesday,January,90,Tram,M1,Airport BER,Hackescher Markt,0.5
2024-12-27,22,Friday,December,576,Train,S7,Zoologischer Garten,Hackescher Markt,0.576
2025-01-18,14,Saturday,January,109,Train,S7,Alexanderplatz,Berlin Hauptbahnhof,0.109
2025-08-04,19,Monday,August,542,Metro,U2,Südkreuz,Alexanderplatz,0.903
2024-05-06,21,Monday,May,357,Metro,U1,Hackescher Markt,Zoologischer Garten,0.595
2024-04-12,9,Friday,April,803,Train,S7,Zoologischer Garten,Airport BER,0.803
2025-04-03,7,Thursday,April,553,Metro,U8,Potsdamer Platz,Airport BER,0.922
2024-04-13,11,Saturday,April,265,Metro,U8,Alexanderplatz,Ostkreuz,0.442
2024-11-23,13,Saturday,November,406,Train,S7,Warschauer Straße,Berlin Hauptbahnhof,0.406
2024-12-23,12,Monday,December,597,Train,S5,Airport BER,Alexanderplatz,0.597
2025-09-04,7,Thursday,September,779,Train,S5,Potsdamer Platz,Friedrichstraße,0.779
2024-10-18,18,Friday,October,883,Train,S41,Airport BER,Berlin Hauptbahnhof,0.883
2025-05-05,21,Monday,May,33,Bus,X9,Leopoldplatz,Zoologischer Garten,0.55
2025-05-24,11,Saturday,May,88,Tram,M5,Leopoldplatz,Warschauer Straße,0.489
2024-04-30,13,Tuesday,April,303,Metro,U2,Berlin Hauptbahnhof,Warschauer Straße,0.505
2025-06-10,6,Tuesday,June,838,Train,S41,Airport BER,Ostkreuz,0.838
2025-10-02,22,Thursday,October,73,Tram,M1,Berlin Hauptbahnhof,Leopoldplatz,0.406
2024-07-02,17,Tuesday,July,600,Metro,U2,Warschauer Straße,Zoologischer Garten,1.0
2025-08-17,19,Sunday,August,477,Train,S7,Zoologischer Garten,Alexanderplatz,0.477
2024-05-08,16,Wednesday,May,509,Metro,U8,Potsdamer Platz,Berlin Hauptbahnhof,0.848
