Date,Time_Hour,Week_Day,Month,Passengers,Transport_Type,Route_Line,Origin_Start_Location,Destination_End_Location,Occupancy_Rate
2024-01-01,0,Monday,January,68,Tram,R13,Tech Park,Suburban Terminal,0.453
2024-01-01,1,Monday,January,21,Bus,B106,Museum Plaza,Tech Park,0.42
2024-01-01,2,Monday,January,175,Metro,M2,Financial District,University Campus,0.219
2024-01-01,3,Monday,January,212,Train,T52,Museum Plaza,Airport Hub,0.471
2024-01-01,4,Monday,January,310,Metro,M3,Financial District,University Campus,0.388
2024-01-01,5,Monday,January,23,Bus,B104,University Campus,Tech Park,0.46
2024-01-01,6,Monday,January,45,Bus,B101,Airport Hub,Suburban Terminal,0.9
2024-01-01,7,Monday,January,744,Metro,M2,Museum Plaza,Airport Hub,0.93
2024-01-01,8,Monday,January,50,Bus,B102,University Campus,Tech Park,1.0
2024-01-01,9,Monday,January,135,Tram,R12,Museum Plaza,Airport Hub,0.9
2024-01-01,10,Monday,January,551,Metro,M2,Central Station,Museum Plaza,0.689
2024-01-01,11,Monday,January,293,Metro,M1,University Campus,Airport Hub,0.366
2024-01-01,12,Monday,January,36,Bus,B106,Museum Plaza,University Campus,0.72
2024-01-01,13,Monday,January,535,Metro,M3,Suburban Terminal,University Campus,0.669
2024-01-01,14,Monday,January,27,Bus,B106,Suburban Terminal,Tech Park,0.54
2024-01-01,15,Monday,January,31,Bus,B103,Central Station,Financial District,0.62
2024-01-01,16,Monday,January,494,Metro,M1,University Campus,Museum Plaza,0.618
2024-01-01,17,Monday,January,46,Bus,B101,Airport Hub,Financial District,0.92
2024-01-01,18,Monday,January,665,Metro,M2,Airport Hub,Museum Plaza,0.831
2024-01-01,19,Monday,January,61,Bus,B106,Airport Hub,Central Station,1.0
2024-01-01,20,Monday,January,120,Metro,M1,Financial District,Suburban Terminal,0.15
2024-01-01,21,Monday,January,14,Bus,B104,Suburban Terminal,Financial District,0.28
2024-01-01,22,Monday,January,301,Metro,M3,Airport Hub,Financial District,0.376
2024-01-01,23,Monday,January,14,Bus,B106,Financial District,Suburban Terminal,0.28
2024-01-02,0,Tuesday,January,295,Metro,M3,Central Station,Tech Park,0.369
2024-01-02,1,Tuesday,January,4,Bus,B102,Suburban Terminal,Museum Plaza,0.08
2024-01-02,2,Tuesday,January,70,Tram,R12,Tech Park,Museum Plaza,0.467
2024-01-02,3,Tuesday,January,24,Bus,B103,Tech Park,Central Station,0.48
2024-01-02,4,Tuesday,January,193,Metro,M2,Tech Park,Central Station,0.241
2024-01-02,5,Tuesday,January,188,Train,T52,Financial District,Central Station,0.418
2024-01-02,6,Tuesday,January,145,Tram,R12,Suburban Terminal,Airport Hub,0.967
2024-01-02,7,Tuesday,January,760,Metro,M1,Suburban Terminal,Tech Park,0.95
2024-01-02,8,Tuesday,January,27,Bus,B103,Tech Park,Central Station,0.54
2024-01-02,9,Tuesday,January,373,Train,T52,Museum Plaza,Airport Hub,0.829
2024-01-02,10,Tuesday,January,29,Bus,B101,Central Station,Tech Park,0.58
2024-01-02,11,Tuesday,January,81,Tram,R13,Suburban Terminal,Museum Plaza,0.54
2024-01-02,12,Tuesday,January,523,Metro,M2,Museum Plaza,Central Station,0.654
2024-01-02,13,Tuesday,January,32,Bus,B101,Suburban Terminal,Tech Park,0.64
2024-01-02,14,Tuesday,January,40,Bus,B106,Suburban Terminal,Museum Plaza,0.8
2024-01-02,15,Tuesday,January,41,Bus,B101,Tech Park,Central Station,0.82
2024-01-02,16,Tuesday,January,729,Metro,M1,Financial District,Central Station,0.911
2024-01-02,17,Tuesday,January,56,Bus,B101,Financial District,Suburban Terminal,1.0
2024-01-02,18,Tuesday,January,44,Bus,B101,University Campus,Financial District,0.88
2024-01-02,19,Tuesday,January,41,Bus,B104,Central Station,Suburban Terminal,0.82
2024-01-02,20,Tuesday,January,254,Metro,M3,Tech Park,Museum Plaza,0.318
2024-01-02,21,Tuesday,January,311,Metro,M2,Central Station,Suburban Terminal,0.389
2024-01-02,22,Tuesday,January,57,Tram,R11,Museum Plaza,Financial District,0.38
2024-01-02,23,Tuesday,January,42,Tram,R13,Museum Plaza,Financial District,0.28
2024-01-03,0,Wednesday,January,10,Bus,B106,Museum Plaza,Financial District,0.2
2024-01-03,1,Wednesday,January,79,Tram,R11,University Campus,Tech Park,0.527
2024-01-03,2,Wednesday,January,113,Train,T50,Financial District,Museum Plaza,0.251
2024-01-03,3,Wednesday,January,101,Metro,M3,Tech Park,Airport Hub,0.126
2024-01-03,4,Wednesday,January,335,Metro,M3,Financial District,Suburban Terminal,0.419
2024-01-03,5,Wednesday,January,160,Train,T52,Airport Hub,Central Station,0.356
2024-01-03,6,Wednesday,January,41,Bus,B106,University Campus,Central Station,0.82
2024-01-03,7,Wednesday,January,488,Metro,M1,Airport Hub,University Campus,0.61
2024-01-03,8,Wednesday,January,358,Train,T52,University Campus,Airport Hub,0.796
2024-01-03,9,Wednesday,January,49,Bus,B105,Tech Park,University Campus,0.98
2024-01-03,10,Wednesday,January,100,Tram,R11,Airport Hub,Museum Plaza,0.667
2024-01-03,11,Wednesday,January,34,Bus,B101,Suburban Terminal,Central Station,0.68
2024-01-03,12,Wednesday,January,18,Bus,B103,Suburban Terminal,Central Station,0.36
2024-01-03,13,Wednesday,January,33,Bus,B101,Airport Hub,Museum Plaza,0.66
2024-01-03,14,Wednesday,January,29,Bus,B101,Financial District,Suburban Terminal,0.58
2024-01-03,15,Wednesday,January,14,Bus,B106,Airport Hub,Tech Park,0.28
2024-01-03,16,Wednesday,January,743,Metro,M1,Airport Hub,Museum Plaza,0.929
2024-01-03,17,Wednesday,January,45,Bus,B101,Suburban Terminal,Airport Hub,0.9
2024-01-03,18,Wednesday,January,651,Metro,M3,Financial District,Airport Hub,0.814
2024-01-03,19,Wednesday,January,499,Metro,M1,Suburban Terminal,Airport Hub,0.624
2024-01-03,20,Wednesday,January,0,Bus,B101,University Campus,Museum Plaza,0.0
2024-01-03,21,Wednesday,January,16,Bus,B103,Museum Plaza,Suburban Terminal,0.32
2024-01-03,22,Wednesday,January,21,Bus,B104,Airport Hub,Central Station,0.42
2024-01-03,23,Wednesday,January,18,Bus,B103,Central Station,Airport Hub,0.36
2024-01-04,0,Thursday,January,243,Metro,M2,University Campus,Airport Hub,0.304
2024-01-04,1,Thursday,January,23,Tram,R11,Tech Park,Airport Hub,0.153
2024-01-04,2,Thursday,January,14,Bus,B105,Airport Hub,Suburban Terminal,0.28
2024-01-04,3,Thursday,January,53,Tram,R12,Tech Park,Central Station,0.353
2024-01-04,4,Thursday,January,0,Train,T50,Tech Park,University Campus,0.0
2024-01-04,5,Thursday,January,272,Metro,M2,Museum Plaza,Central Station,0.34
2024-01-04,6,Thursday,January,677,Metro,M2,University Campus,Central Station,0.846
2024-01-04,7,Thursday,January,33,Bus,B106,Airport Hub,Suburban Terminal,0.66
2024-01-04,8,Thursday,January,623,Metro,M1,Tech Park,Central Station,0.779
2024-01-04,9,Thursday,January,34,Bus,B101,Museum Plaza,Financial District,0.68
2024-01-04,10,Thursday,January,426,Metro,M1,Tech Park,Museum Plaza,0.532
2024-01-04,11,Thursday,January,454,Metro,M1,Airport Hub,University Campus,0.568
2024-01-04,12,Thursday,January,39,Bus,B103,Suburban Terminal,Museum Plaza,0.78
2024-01-04,13,Thursday,January,36,Bus,B105,Central Station,Airport Hub,0.72
2024-01-04,14,Thursday,January,34,Bus,B103,Airport Hub,Central Station,0.68
2024-01-04,15,Thursday,January,84,Tram,R13,Financial District,University Campus,0.56
2024-01-04,16,Thursday,January,688,Metro,M3,Airport Hub,Financial District,0.86
