Date,Time_Hour,Temperature_C,Weather_Condition,Season,Humidity_Percent,Wind_Speed_kmh,Precipitation_mm,Pressure_hPa,Visibility_km
2023-01-01,0,13.6,Partly Cloudy,Winter,70,5.0,0.7,1023.2,7.3
2023-01-01,1,13.8,Partly Cloudy,Winter,51,7.5,0.0,1020.43,19.7
2023-01-01,2,15.7,Sunny,Winter,42,24.3,0.1,1024.06,8.6
2023-01-01,3,16.4,Sunny,Winter,28,19.5,0.3,1022.6,13.7
2023-01-01,4,19.8,Partly Cloudy,Winter,50,20.5,0.0,1023.19,14.2
2023-01-01,5,18.9,Sunny,Winter,31,18.4,0.4,1014.67,7.7
2023-01-01,6,19.8,Rainy,Winter,33,19.5,7.6,1022.59,11.7
2023-01-01,7,21.5,Thunderstorms,Winter,66,23.6,7.9,1020.43,19.1
2023-01-01,8,16.6,Partly Cloudy,Winter,59,21.0,0.4,1016.44,13.3
2023-01-01,9,17.0,Partly Cloudy,Winter,41,7.9,0.2,1028.7,14.8
2023-01-01,10,14.5,Partly Cloudy,Winter,50,14.4,0.1,1017.19,15.7
2023-01-01,11,16.2,Rainy,Winter,57,19.0,0.0,1034.05,5.4
2023-01-01,12,15.9,Partly Cloudy,Winter,26,16.1,0.3,1020.02,23.5
2023-01-01,13,11.5,Sunny,Winter,59,13.6,0.6,1002.83,15.5
2023-01-01,14,13.5,Partly Cloudy,Winter,66,13.7,0.0,1005.52,6.9
2023-01-01,15,11.1,Partly Cloudy,Winter,54,24.0,0.0,1007.18,7.1
2023-01-01,16,13.1,Rainy,Winter,54,6.1,6.8,1007.32,13.1
2023-01-01,17,12.7,Partly Cloudy,Winter,43,12.7,0.3,1012.17,12.1
2023-01-01,18,10.1,Rainy,Winter,65,16.7,0.5,995.12,3.5
2023-01-01,19,10.7,Partly Cloudy,Winter,58,0.0,0.0,1014.25,12.9
2023-01-01,20,11.0,Sunny,Winter,62,25.7,1.0,1017.48,8.9
2023-01-01,21,12.9,Sunny,Winter,53,8.3,0.0,1011.41,17.1
2023-01-01,22,16.1,Sunny,Winter,58,14.1,0.0,997.55,14.7
2023-01-01,23,17.4,Partly Cloudy,Winter,31,8.9,0.1,1005.72,14.8
2023-01-02,0,15.7,Partly Cloudy,Winter,52,28.0,1.2,1017.56,16.7
2023-01-02,1,16.2,Partly Cloudy,Winter,54,25.6,0.0,995.62,15.4
2023-01-02,2,21.6,Clear,Winter,30,7.4,0.0,1028.58,15.8
2023-01-02,3,21.5,Clear,Winter,20,9.8,0.0,1020.68,9.0
2023-01-02,4,17.8,Partly Cloudy,Winter,61,10.7,0.0,1010.34,17.7
2023-01-02,5,16.9,Partly Cloudy,Winter,51,24.3,0.2,1022.8,19.1
2023-01-02,6,24.9,Thunderstorms,Winter,27,6.3,2.2,1000.27,17.1
2023-01-02,7,20.3,Clear,Winter,26,12.4,0.0,1025.52,22.3
2023-01-02,8,19.6,Sunny,Winter,38,17.9,0.0,1016.68,21.7
2023-01-02,9,17.9,Sunny,Winter,67,21.2,0.3,1016.2,22.7
2023-01-02,10,17.0,Sunny,Winter,45,21.5,0.4,1013.0,13.1
2023-01-02,11,14.8,Sunny,Winter,79,13.1,0.0,1022.57,13.4
2023-01-02,12,14.1,Sunny,Winter,40,14.8,0.7,1007.63,17.0
2023-01-02,13,12.9,Sunny,Winter,58,14.6,0.2,1012.48,14.7
2023-01-02,14,13.7,Rainy,Winter,62,16.6,6.7,1012.48,11.1
2023-01-02,15,14.7,Partly Cloudy,Winter,57,11.8,0.6,1012.2,27.6
2023-01-02,16,9.5,Fog,Winter,56,28.4,0.6,1004.24,2.1
2023-01-02,17,13.0,Sunny,Winter,53,16.6,0.1,1010.16,18.2
2023-01-02,18,7.2,Fog,Winter,62,17.6,0.0,1010.43,2.8
2023-01-02,19,11.4,Sunny,Winter,64,9.4,0.0,1010.78,14.3
2023-01-02,20,11.3,Partly Cloudy,Winter,69,32.4,0.0,998.79,5.5
2023-01-02,21,11.6,Sunny,Winter,61,31.5,0.7,1013.62,13.9
2023-01-02,22,16.7,Partly Cloudy,Winter,39,7.9,0.4,1020.98,18.0
2023-01-02,23,12.9,Partly Cloudy,Winter,51,9.8,0.8,1018.8,16.2
2023-01-03,0,16.2,Partly Cloudy,Winter,63,13.2,0.1,1009.37,22.3
2023-01-03,1,17.9,Rainy,Winter,47,24.3,1.4,999.92,12.5
2023-01-03,2,16.0,Partly Cloudy,Winter,50,28.9,0.0,1028.24,20.5
2023-01-03,3,19.6,Rainy,Winter,40,17.5,5.0,1011.96,11.4
2023-01-03,4,21.1,Clear,Winter,36,3.3,0.4,1020.98,20.3
2023-01-03,5,17.4,Sunny,Winter,31,10.7,0.0,1003.75,15.6
2023-01-03,6,21.5,Sunny,Winter,46,0.0,0.0,1003.87,13.0
2023-01-03,7,22.2,Thunderstorms,Winter,33,18.8,0.3,1018.96,20.4
2023-01-03,8,24.1,Clear,Winter,44,12.4,0.0,1014.77,16.5
2023-01-03,9,20.1,Thunderstorms,Winter,38,31.9,8.9,1014.4,13.8
2023-01-03,10,19.8,Sunny,Winter,53,18.2,0.1,1017.48,15.8
2023-01-03,11,15.3,Rainy,Winter,54,13.2,1.5,1007.4,6.3
2023-01-03,12,17.8,Rainy,Winter,51,17.1,0.3,1012.7,3.5
2023-01-03,13,15.5,Rainy,Winter,52,16.2,1.3,1026.35,5.2
2023-01-03,14,13.9,Rainy,Winter,54,6.7,3.1,1017.79,7.6
2023-01-03,15,8.8,Cloudy,Winter,62,24.7,0.1,1008.5,5.0
2023-01-03,16,8.7,Cloudy,Winter,68,22.0,0.0,1025.1,5.0
2023-01-03,17,7.4,Fog,Winter,55,19.7,0.0,1016.36,3.2
2023-01-03,18,14.2,Partly Cloudy,Winter,62,13.7,0.3,994.9,13.0
2023-01-03,19,10.7,Rainy,Winter,50,18.2,2.9,1013.95,8.5
2023-01-03,20,14.4,Sunny,Winter,56,17.4,0.0,1000.31,13.3
